,CYTOF1,CYTOF2,CYTOF3,CYTOF4,CYTOF5,AURORA1,AURORA2,AURORA3,AURORA4,AURORA5
pcOfCD3Tcells ,23.57,20.41,17.48,17.51,16.57,25.70,21.11,18.40,18.62,18.00
pcOfCD4Tcells ,12.92,10.34,6.73,7.22,8.34,13.33,11.31,8.74,8.01,9.38
pcOfCD8TcellsinUngated,8.23,7.37,5.74,5.24,5.76,7.45,9.29,6.17,5.23,6.25
pcOfDNTcells,2.36,2.80,0.83,0.93,1.40,2.89,2.54,1.16,0.87,1.85
pcOfBcells ,38.62,34.81,51.55,50.03,48.19,40.76,37.09,51.69,50.84,51.86
pcOfNKcells ,1.20,2.48,1.68,1.43,1.16,2.14,2.33,1.94,1.69,1.60
pcOfMonocytes,3.23,2.98,2.71,1.96,2.53,2.46,2.74,2.92,2.49,2.64
pcOfDCs ,5.05,2.85,2.68,2.25,2.69,4.31,3.13,3.01,3.05,3.13
pcOfDC1 ,0.91,0.35,0.61,0.46,0.72,1.33,1.04,1.24,1.02,0.97
pcOfDC2,3.15,2.51,2.08,1.78,1.99,2.97,2.68,1.75,2.23,2.15
pcOfNeutrophils ,3.00,4.71,2.87,1.16,2.66,2.49,2.06,1.81,0.96,1.93
